Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
| Wide-Resnet 28x10
P(x) | 0:0 f(x_p_d)=   2.119415045 f(x_q)=   2.120719433 d=  -0.001304388
P(y|x) 0:0 loss=   2.080186367, acc=   0.109375000
P(x) | 0:1 f(x_p_d)=   2.119330883 f(x_q)=   2.120789528 d=  -0.001458645
P(y|x) 0:1 loss=   2.074049950, acc=   0.171875000
P(x) | 0:2 f(x_p_d)=   2.119536638 f(x_q)=   2.120681286 d=  -0.001144648
P(y|x) 0:2 loss=   2.081078768, acc=   0.109375000
P(x) | 0:3 f(x_p_d)=   2.119666576 f(x_q)=   2.120728970 d=  -0.001062393
P(y|x) 0:3 loss=   2.077293396, acc=   0.117187500
P(x) | 0:4 f(x_p_d)=   2.120095730 f(x_q)=   2.120457649 d=  -0.000361919
P(y|x) 0:4 loss=   2.075958729, acc=   0.101562500
P(x) | 0:5 f(x_p_d)=   2.120578766 f(x_q)=   2.120361090 d=   0.000217676
P(y|x) 0:5 loss=   2.079360485, acc=   0.101562500
P(x) | 0:6 f(x_p_d)=   2.121021271 f(x_q)=   2.120166540 d=   0.000854731
P(y|x) 0:6 loss=   2.079720736, acc=   0.070312500
P(x) | 0:7 f(x_p_d)=   2.121879578 f(x_q)=   2.119857788 d=   0.002021790
P(y|x) 0:7 loss=   2.080117226, acc=   0.109375000
P(x) | 0:8 f(x_p_d)=   2.122436762 f(x_q)=   2.119564056 d=   0.002872705
P(y|x) 0:8 loss=   2.074452162, acc=   0.156250000
P(x) | 0:9 f(x_p_d)=   2.123376131 f(x_q)=   2.119440079 d=   0.003936052
P(y|x) 0:9 loss=   2.073578358, acc=   0.148437500
P(x) | 0:10 f(x_p_d)=   2.124589682 f(x_q)=   2.119034290 d=   0.005555391
P(y|x) 0:10 loss=   2.074208021, acc=   0.125000000
P(x) | 0:11 f(x_p_d)=   2.125145912 f(x_q)=   2.118791580 d=   0.006354332
P(y|x) 0:11 loss=   2.077789068, acc=   0.140625000
P(x) | 0:12 f(x_p_d)=   2.126738310 f(x_q)=   2.118240833 d=   0.008497477
P(y|x) 0:12 loss=   2.079698801, acc=   0.101562500
P(x) | 0:13 f(x_p_d)=   2.128396273 f(x_q)=   2.117587566 d=   0.010808706
P(y|x) 0:13 loss=   2.074284554, acc=   0.148437500
P(x) | 0:14 f(x_p_d)=   2.129818916 f(x_q)=   2.117129087 d=   0.012689829
P(y|x) 0:14 loss=   2.076136351, acc=   0.125000000
P(x) | 0:15 f(x_p_d)=   2.130550146 f(x_q)=   2.116876602 d=   0.013673544
P(y|x) 0:15 loss=   2.076282024, acc=   0.164062500
P(x) | 0:16 f(x_p_d)=   2.132769346 f(x_q)=   2.116297722 d=   0.016471624
P(y|x) 0:16 loss=   2.074344635, acc=   0.171875000
P(x) | 0:17 f(x_p_d)=   2.134158611 f(x_q)=   2.115424633 d=   0.018733978
P(y|x) 0:17 loss=   2.073077917, acc=   0.273437500
P(x) | 0:18 f(x_p_d)=   2.137348175 f(x_q)=   2.114987850 d=   0.022360325
P(y|x) 0:18 loss=   2.076200485, acc=   0.226562500
